Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
AdaBoostRegressor,0.026023368020090976,0.027387071675228247,3166.567996308799,1.3497462272644043
HistGradientBoostingRegressor,0.01404555507934846,0.015426029349664305,3185.9794788664535,1.0768327713012695
GammaRegressor,-0.0014065808000001123,-4.471375937731281e-06,3210.8481722520664,1.0375590324401855
PoissonRegressor,-0.0014065808000001123,-4.471375937731281e-06,3210.8481722520664,0.9115560054779053
DummyRegressor,-0.0014065808000001123,-4.471375937731281e-06,3210.8481722520664,0.783416748046875
OrthogonalMatchingPursuit,-0.0019917880850850445,-0.0005888592888863009,3211.7862214626457,0.8897707462310791
NuSVR,-0.007852548644836865,-0.0064414139632660294,3221.1655722944474,108.88410210609436
SVR,-0.012853137623982214,-0.011435001417688051,3229.146796513767,107.43349242210388
QuantileRegressor,-0.013717376089738664,-0.012298029828587076,3230.5241718241778,50.75062942504883
ElasticNetCV,-0.016307866725036035,-0.014884893414290001,3234.649238261599,2.6708407402038574
LassoCV,-0.01643238953265591,-0.015009241872544266,3234.8473943916947,3.2549209594726562
KNeighborsRegressor,-0.024103232344280023,-0.022669344430206628,3247.0308731916916,0.916205883026123
ExtraTreesRegressor,-0.06832473536058936,-0.06682893115066357,3316.394540128062,16.39463710784912
RandomForestRegressor,-0.10799403601428303,-0.10644268922918454,3377.405924707501,171.98997473716736
MLPRegressor,-0.3059122968204684,-0.3040838367589138,3666.667719945883,21.903128147125244
BaggingRegressor,-0.3518336537719755,-0.3499408973810558,3730.578444400144,5.359891176223755
GradientBoostingRegressor,-0.5561834078373629,-0.554004533178925,4002.625333471188,14.050500631332397
DecisionTreeRegressor,-1.5373626416627477,-1.5338099786981236,5110.999284934405,1.4714946746826172
ElasticNet,-1.6047611700765976,-1.6011141397354565,5178.43469894617,3.4682507514953613
Lasso,-1.8788970959056646,-1.8748662368854947,5444.119134079414,4.38412880897522
ExtraTreeRegressor,-4.753336544923622,-4.745281068213059,7696.166222672169,0.9271388053894043
PassiveAggressiveRegressor,-53.84566314402427,-53.76887153646189,23762.147944775334,0.9370558261871338
RANSACRegressor,-97.7574729748536,-97.61919868525986,31885.96270714361,0.973966121673584
HuberRegressor,-647.1890035112934,-646.2814481508417,81689.33845343416,1.366645336151123
LinearSVR,-23649.585350754645,-23616.4712198505,493441.3003453969,7.110487937927246
TweedieRegressor,-29611.009667638154,-29569.5487080075,552139.08445392,1.0244309902191162
LassoLarsCV,-31719.478552707875,-31675.065441422958,571458.1289194418,1.0211660861968994
BayesianRidge,-31736.133528412865,-31691.697097830034,571608.1325243447,0.8292679786682129
LassoLarsIC,-31736.369715230885,-31691.932953953437,571610.2594658765,1.0223157405853271
LassoLars,-31736.8286563454,-31692.391252486133,571614.392361947,0.9842796325683594
RidgeCV,-31739.257295523843,-31694.816491229685,571636.2624553064,0.972217321395874
Ridge,-31739.659381828787,-31695.218014557504,571639.8831944593,0.9603712558746338
LinearRegression,-31739.70448783876,-31695.263057412747,571640.2893672611,1.0078575611114502
TransformedTargetRegressor,-31739.70448783876,-31695.263057412747,571640.2893672611,0.901710033416748
OrthogonalMatchingPursuitCV,-31771.44405787139,-31726.958187603348,571926.0278821236,1.1435978412628174
LarsCV,-31887.293166804597,-31842.64509156355,572967.7613028492,1.047375202178955
Lars,-31910.40265213135,-31865.722220375195,573175.3389228191,1.7789902687072754
SGDRegressor,-1.223419389011886e+24,-1.2217064305714254e+24,3548969189590417.0,2.887050151824951
